"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"119","Dungeon Hearts","Mar 28, 2013","$2.99","28% (67%/73%)","50,000 .. 100,000","00:00 (00:00)","Cube Roots","Devolver Digital"
"128","MirrorMoon EP","Sep 4, 2013","$14.99","27% (66%/73%)","50,000 .. 100,000","04:52 (01:37)","Santa Ragione","Santa Ragione"
"130","Tetrobot and Co.","Oct 22, 2013","$9.99","97% (97%/72%)","50,000 .. 100,000","00:53 (00:17)","Swing Swing Submarine","Swing Swing Submarine"
"132","Aarklash: Legacy","Sep 12, 2013","$15.99","47% (78%/72%)","50,000 .. 100,000","00:00 (00:00)","Cyanide Studio","Bigben Interactive"
"141","March of the Eagles","Feb 18, 2013","$19.99","27% (66%/71%)","50,000 .. 100,000","00:00 (00:00)","Paradox Development Studio","Paradox Interactive"
"153","Foul Play","Sep 18, 2013","$14.99","60% (84%/69%)","50,000 .. 100,000","00:00 (00:00)","Mediatonic, The Irregular Corporation","Devolver Digital"
"154","Marc Eckō's Getting Up: Contents Under Pressure","Dec 13, 2013","$14.99","80% (91%/69%)","50,000 .. 100,000","00:00 (00:00)","The Collective, General Arcade","Devolver Digital"
"158","Ironclad Tactics","Sep 18, 2013","$14.99","47% (78%/69%)","50,000 .. 100,000","00:23 (00:08)","Zachtronics","Zachtronics"
"162","Dark Fall: The Journal","Dec 3, 2013","$4.99","39% (74%/68%)","50,000 .. 100,000","00:00 (00:00)","Darkling Room","THQ Nordic"
"182","Oozi: Earth Adventure","Dec 5, 2013","$4.99","68% (87%/66%)","50,000 .. 100,000","00:00 (00:00)","Awesome Games Studio","Awesome Games Studio"
"186","Rise of Venice","Sep 27, 2013","$19.99","16% (57%/66%)","50,000 .. 100,000","19:05 (06:21)","","Kalypso Media Digital"
"187","Blood of the Werewolf","Oct 28, 2013","$1.99","21% (61%/65%)","50,000 .. 100,000","00:00 (00:00)","Scientifically Proven","Scientifically Proven"
"209","Face Noir","Oct 17, 2013","$9.99","22% (62%/59%)","50,000 .. 100,000","03:31 (01:10)","Mad Orange","Phoenix Online Publishing"
"210","Shattered Haven","Mar 18, 2013","$9.99","9% (45%/59%)","50,000 .. 100,000","00:00 (00:00)","Arcen Games, LLC","Arcen Games, LLC"
"212","Master Reboot","Oct 29, 2013","$14.99","39% (74%/59%)","50,000 .. 100,000","00:00 (00:00)","Wales Interactive","Wales Interactive"
"217","Knock-knock","Oct 4, 2013","$9.99","74% (89%/57%)","50,000 .. 100,000","00:00 (00:00)","Ice-Pick Lodge","Ice-Pick Lodge"
"235","DARK","Jul 3, 2013","$9.99","10% (47%/41%)","50,000 .. 100,000","00:00 (00:00)","Realmforge Studios","Kalypso Media Digital"
"236","The Chaos Engine","Aug 29, 2013","$9.99","33% (70%/40%)","50,000 .. 100,000","00:00 (00:00)","Abstraction Games, The Bitmap Brothers","The Bitmap Brothers"
"237","Montague's Mount","Nov 19, 2013","$4.99","23% (63%/39%)","50,000 .. 100,000","00:00 (00:00)","PolyPusher Studios","PolyPusher Studios"
"238","Dementium II HD","Dec 17, 2013","N/A","9% (46%/37%)","50,000 .. 100,000","00:00 (00:00)","Memetic Games","Missing Link Games"
"247","The 11th Hour","Oct 18, 2013","$5.99","12% (51%)","50,000 .. 100,000","00:00 (00:00)","Trilobyte Games","Nightdive Studios"
"251","Alex Hunter - Lord of the Mind Platinum Edition","Dec 3, 2013","$6.99","53% (81%)","50,000 .. 100,000","03:31 (01:10)","Alawar","Viva Media"
"253","YOU DON'T KNOW JACK Vol. 3","Nov 5, 2013","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Jackbox Games, Inc.","Jackbox Games, Inc."
"254","Eador: Genesis","Oct 14, 2013","$5.99","58% (83%)","50,000 .. 100,000","00:00 (00:00)","Alexey Bokulev, Snowbird Games","Snowbird Games"
"256","Zombie Tycoon 2: Brainhov's Revenge","Dec 9, 2013","$4.99","25% (65%)","50,000 .. 100,000","01:47 (00:35)","Frima Studio","Frima Studio"
"262","WRC 4 FIA World Rally Championship","Oct 25, 2013","$29.99","23% (63%)","50,000 .. 100,000","00:00 (00:00)","Milestone S.r.l.","Plug In Digital, Bigben Interactive"
"270","Airport Simulator 2014","Dec 19, 2013","$9.99","1% (10%)","50,000 .. 100,000","00:00 (00:00)","United Independent Entertainment GmbH","United Independent Entertainment GmbH"
"271","Blood Knights","Nov 13, 2013","$9.99","25% (65%)","50,000 .. 100,000","01:33 (01:01)","Deck 13","Kalypso Media Digital"
"278","YOU DON'T KNOW JACK HEADRUSH","Nov 5, 2013","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Jackbox Games, Inc.","Jackbox Games, Inc."
"284","YOU DON'T KNOW JACK Vol. 1 XL","Nov 5, 2013","$2.99","49% (79%)","50,000 .. 100,000","00:15 (00:13)","Jackbox Games, Inc.","Jackbox Games, Inc."
"287","Droid Assault","Jan 9, 2013","$9.99","60% (84%)","50,000 .. 100,000","00:00 (00:00)","Puppygames","Puppygames"
"291","MotoGP13","Jun 20, 2013","$9.99","31% (69%)","50,000 .. 100,000","01:06 (00:22)","Milestone S.r.l.","Plug In Digital, Milestone S.r.l."
"293","Eryi's Action","Nov 19, 2013","$4.99","74% (89%)","50,000 .. 100,000","00:00 (00:00)","Xtal Sword","Xtal Sword"
"295","Wizardry 6: Bane of the Cosmic Forge","Sep 10, 2013","$4.99","45% (77%)","50,000 .. 100,000","00:57 (00:19)","Sir-Tech","Gamepot, Inc., Nightdive Studios"
"298","Zack Zero","Apr 29, 2013","$2.99","23% (63%)","50,000 .. 100,000","00:00 (00:00)","Crocodile Entertainment","Crocodile Entertainment"
"308","The Shivah","Nov 21, 2013","$4.99","56% (82%)","50,000 .. 100,000","00:00 (00:00)","","Wadjet Eye Games"
"311","Gravity Badgers","Nov 28, 2013","$4.99","33% (70%)","50,000 .. 100,000","00:00 (00:00)","Wales Interactive","Wales Interactive"
"312","3079 -- Block Action RPG","Nov 14, 2013","$4.99","12% (51%)","50,000 .. 100,000","00:16 (00:05)","Phr00t's Software","Phr00t's Software"
"313","Dysfunctional Systems: Learning to Manage Chaos","Sep 26, 2013","$4.99","45% (77%)","50,000 .. 100,000","00:00 (00:00)","Dischan Media","Dischan Media"
"324","Bus-Simulator 2012","Nov 22, 2013","$9.99","4% (34%)","50,000 .. 100,000","00:00 (00:00)","TML-Studios","astragon Entertainment"
"325","Agricultural Simulator: Historical Farming","Nov 6, 2013","$9.99","1% (12%)","50,000 .. 100,000","00:00 (00:00)","Actalogic","United Independent Entertainment GmbH"
"327","Cognition: An Erica Reed Thriller","Sep 19, 2013","$14.99","56% (82%)","50,000 .. 100,000","00:00 (00:00)","Phoenix Online Studios","Phoenix Online Publishing"
"331","Emergency 2014","Nov 15, 2013","$9.99","16% (57%)","50,000 .. 100,000","01:13 (00:24)","Sixteen Tons Entertainment","Sixteen Tons Entertainment"
"332","Super Puzzle Platformer Deluxe","May 24, 2013","$7.99","90% (94%)","50,000 .. 100,000","00:11 (00:06)","Andrew Morrish","Adult Swim Games"
"335","Mutant Mudds Deluxe","Nov 21, 2013","$9.99","49% (79%)","50,000 .. 100,000","00:00 (00:00)","Renegade Kid","Good Shepherd Entertainment"
"345","YOU DON'T KNOW JACK Vol. 2","Nov 5, 2013","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Jackbox Games, Inc.","Jackbox Games, Inc."
"346","Shadows: Price For Our Sins Bonus Edition","Oct 24, 2013","$9.99","11% (49%)","50,000 .. 100,000","00:00 (00:00)","8th Floor Games","Encore, Viva Media"
"347","Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded","Jun 27, 2013","N/A","51% (80%)","50,000 .. 100,000","00:00 (00:00)","nFusion Interactive","Replay Games"
"360","VelocityUltra","Dec 12, 2013","$9.99","63% (85%)","50,000 .. 100,000","00:00 (00:00)","Curve Digital, FuturLab","Curve Digital"
"370","Ms. Splosion Man","Apr 3, 2013","$9.99","60% (84%)","50,000 .. 100,000","00:00 (00:00)","Twisted Pixel Games","Microsoft Studios"
"377","Dragon's Lair","May 17, 2013","$9.99","47% (78%)","50,000 .. 100,000","00:00 (00:00)","Digital Leisure Inc.","Digital Leisure Inc."
"383","Agricultural Simulator 2013 - Steam Edition","Jun 7, 2013","$9.99","2% (22%)","50,000 .. 100,000","00:40 (00:13)","Actalogic","United Independent Entertainment GmbH"
"384","Doorways: Prelude","Sep 20, 2013","$9.99","21% (61%)","50,000 .. 100,000","01:18 (00:26)","Saibot Studios","Saibot Studios"
"385","Dominions 4: Thrones of Ascension","Dec 5, 2013","$34.99","77% (90%)","50,000 .. 100,000","00:37 (00:12)","Illwinter Game Design","Illwinter Game Design"
"389","Postmortem: One Must Die (Extended Cut)","Dec 3, 2013","$2.99","9% (45%)","50,000 .. 100,000","00:00 (00:00)","Unbound Creations","Unbound Creations"
"390","Zafehouse: Diaries","Sep 6, 2013","$1.99","28% (67%)","50,000 .. 100,000","00:00 (00:00)","Screwfly Studios","Screwfly Studios"
"398","YOU DON'T KNOW JACK SPORTS","Nov 5, 2013","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Jackbox Games, Inc.","Jackbox Games, Inc."
"404","YOU DON'T KNOW JACK MOVIES","Nov 5, 2013","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Jackbox Games, Inc.","Jackbox Games, Inc."
"407","Hate Plus","Aug 19, 2013","$9.99","66% (86%)","50,000 .. 100,000","00:00 (00:00)","Love Conquers All Games","Love Conquers All Games"
"413","Ultratron","Mar 18, 2013","$9.99","77% (90%)","50,000 .. 100,000","00:00 (00:00)","Puppygames","Puppygames"
"419","Tiny Brains","Dec 11, 2013","$9.99","45% (77%)","50,000 .. 100,000","00:00 (00:00)","Spearhead Games","505 Games"
"422","Wizardry 7: Crusaders of the Dark Savant","Sep 10, 2013","$4.99","74% (89%)","50,000 .. 100,000","00:01 (00:00)","Sir-Tech","Gamepot, Inc., Nightdive Studios"
"427","Artemis Spaceship Bridge Simulator","Sep 16, 2013","$6.99","71% (88%)","50,000 .. 100,000","00:00 (00:00)","",""
"428","Pandemonium","Oct 8, 2013","$6.99","33% (70%)","50,000 .. 100,000","00:00 (00:00)","Crystal Dynamics","Square Enix"
"440","Primal Fears","Jan 8, 2013","$9.99","18% (59%)","50,000 .. 100,000","00:00 (00:00)","DnS Development","DnS Development"
"446","Luxor 2 HD","May 13, 2013","$9.99","36% (72%)","50,000 .. 100,000","00:00 (00:00)","MumboJumbo","MumboJumbo"
"454","Kingdoms Rise","Nov 18, 2013","$14.99","9% (45%)","50,000 .. 100,000","00:00 (00:00)","Flyleap Studios Pty. Ltd.","Flyleap Studios Pty. Ltd."
"465","Knytt Underground","Oct 25, 2013","$6.99","58% (83%)","50,000 .. 100,000","00:00 (00:00)","Nifflas' Games","Ripstone"
"467","YOU DON'T KNOW JACK TELEVISION","Nov 5, 2013","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Jackbox Games, Inc.","Jackbox Games, Inc."
"468","Realms of Arkania: Blade of Destiny","Jul 29, 2013","$14.99","11% (50%)","50,000 .. 100,000","00:00 (00:00)","Crafty Studios","United Independent Entertainment GmbH"
"472","Mini Motor Racing EVO","May 1, 2013","$4.99","30% (68%)","50,000 .. 100,000","02:31 (00:50)","The Binary Mill","The Binary Mill"
"490","The 7th Guest","Oct 18, 2013","$5.99","41% (75%)","50,000 .. 100,000","00:00 (00:00)","Trilobyte Games","Nightdive Studios"
"498","Woodcutter Simulator 2013","Dec 19, 2013","$9.99","2% (22%)","50,000 .. 100,000","00:00 (00:00)","United Independent Entertainment GmbH","United Independent Entertainment GmbH"
"503","99 Spirits","Nov 12, 2013","$9.99","39% (74%)","50,000 .. 100,000","00:00 (00:00)","TORaIKI","Fruitbat Factory"
"510","Bad Hotel","Oct 16, 2013","$4.99","3% (30%)","50,000 .. 100,000","00:00 (00:00)","Lucky Frame","Lucky Frame"
"33","Stick it to The Man!","Dec 13, 2013","$7.99","90% (94%/83%)","20,000 .. 50,000","00:00 (00:00)","Zoink Games","Ripstone"
"38","The Last Express Gold Edition","Nov 21, 2013","$6.99","53% (81%/82%)","20,000 .. 50,000","00:00 (00:00)","DotEmu","DotEmu"
"50","Dyad","Apr 24, 2013","$14.99","47% (78%/80%)","20,000 .. 50,000","00:00 (00:00)","][ Games Inc","Shawn McGrath"
"70","Samurai Gunn","Dec 10, 2013","$14.99","90% (94%/78%)","20,000 .. 50,000","00:31 (00:20)","Teknopants","Maxistentialism"
"98","Fester Mudd: Curse of the Gold - Episode 1","Nov 4, 2013","$9.99","36% (72%/76%)","20,000 .. 50,000","00:00 (00:00)","",""
"116","BIT.TRIP FATE","Jul 11, 2013","$9.99","22% (62%/74%)","20,000 .. 50,000","00:15 (00:05)","Gaijin Games","Gaijin Games"
"126","Fist Puncher","Jun 21, 2013","$9.99","41% (75%/73%)","20,000 .. 50,000","00:00 (00:00)","Team2Bit","Adult Swim Games"
"143","Battle Worlds: Kronos","Nov 4, 2013","$19.99","23% (63%/71%)","20,000 .. 50,000","00:00 (00:00)","KING Art","KING Art, THQ Nordic"
"149","Retrovirus","Jan 31, 2013","$9.99","36% (72%/70%)","20,000 .. 50,000","00:00 (00:00)","Cadenza Interactive","Cadenza Interactive"
"170","Cloudberry Kingdom","Aug 2, 2013","$9.99","77% (90%/67%)","20,000 .. 50,000","00:00 (00:00)","Pwnee Studios","Ubisoft"
"174","A Walk in the Dark","Nov 7, 2013","$6.99","53% (81%/67%)","20,000 .. 50,000","00:00 (00:00)","",""
"179","Armada 2526 Gold Edition","Feb 28, 2013","$19.99","18% (59%/66%)","20,000 .. 50,000","00:00 (00:00)","Ntronium Games","Iceberg Interactive"
"181","Dark Fall 2: Lights Out","Dec 3, 2013","$4.99","N/A (N/A/66%)","20,000 .. 50,000","00:00 (00:00)","Darkling Room","THQ Nordic"
"185","Alone in the Dark: The New Nightmare","Oct 29, 2013","$6.99","19% (60%/66%)","20,000 .. 50,000","00:08 (00:02)","Darkworks, Spiral House","THQ Nordic"
"194","Defense Technica","Oct 24, 2013","$14.99","6% (38%/63%)","20,000 .. 50,000","00:00 (00:00)","Kuno Interactive","Kuno Interactive"
"195","Storm","Jun 27, 2013","$9.99","30% (68%/63%)","20,000 .. 50,000","00:00 (00:00)","Eko Software","Eko Software"
"197","Redshirt","Nov 13, 2013","$9.99","7% (40%/62%)","20,000 .. 50,000","00:00 (00:00)","The Tiniest Shark","Positech"
"199","Bientôt l'été","Feb 6, 2013","$9.99","13% (52%/62%)","20,000 .. 50,000","00:00 (00:00)","Tale of Tales","Tale of Tales"
"221","Alone in the Dark","Oct 29, 2013","$9.99","9% (46%/55%)","20,000 .. 50,000","00:00 (00:00)","Eden Games, Hydravision Entertainment","THQ Nordic"
"228","Lords of Football","Apr 5, 2013","$14.99","9% (46%/52%)","20,000 .. 50,000","00:00 (00:00)","Geniaware Srl","Fish Eagle"
"230","Bad Bots","May 17, 2013","$4.99","31% (69%/49%)","20,000 .. 50,000","00:00 (00:00)","Point Five Projects","Digital Tribe"
"234","Air Conflicts: Vietnam","Oct 2, 2013","$14.99","3% (27%/43%)","20,000 .. 50,000","00:00 (00:00)","Games Farm","Games Farm"
"240","Citadels","Jul 25, 2013","$14.99","1% (13%/20%)","20,000 .. 50,000","00:00 (00:00)","Games Distillery s.r.o.","HandyGames"
"242","MURI","Dec 6, 2013","$4.99","90% (94%)","20,000 .. 50,000","00:00 (00:00)","Ludosity, Remar Games","Ludosity"
"244","Legends of Aethereus","Sep 27, 2013","N/A","2% (24%)","20,000 .. 50,000","00:00 (00:00)","Three Gates","Three Gates"
"248","Magrunner: Dark Pulse","Jun 20, 2013","$9.99","63% (85%)","20,000 .. 50,000","00:00 (00:00)","Frogwares","Frogwares"
"255","YOU DON'T KNOW JACK Vol. 6 The Lost Gold","Nov 5, 2013","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Jackbox Games, Inc.","Jackbox Games, Inc."
"259","Gentlemen!","Nov 5, 2013","$4.99","33% (70%)","20,000 .. 50,000","00:00 (00:00)","Lucky Frame","Blazing Griffin Ltd."
"274","Bridge It +","Nov 18, 2013","$6.99","23% (63%)","20,000 .. 50,000","00:00 (00:00)","Chronic Logic","Libredia Entertainment"
"275","RPG Maker XP","Dec 13, 2013","$24.99","77% (90%)","20,000 .. 50,000","00:05 (00:03)","KADOKAWA","Degica"
"276","Escape Goat","Oct 9, 2013","$4.99","97% (97%)","20,000 .. 50,000","02:08 (01:03)","MagicalTimeBean","MagicalTimeBean"
"286","Risk","Jun 10, 2013","$9.99","6% (39%)","20,000 .. 50,000","00:00 (00:00)","Sperasoft, Inc.","PopCap"
"289","Omegalodon","Sep 20, 2013","$9.99","22% (62%)","20,000 .. 50,000","00:08 (00:02)","North of Earth","North of Earth"
"297","Wooden Sen'SeY","Dec 5, 2013","$9.99","30% (68%)","20,000 .. 50,000","00:00 (00:00)","Upper Byte","Spawn Digital"
"305","Jack Keane 2 - The Fire Within","Jun 28, 2013","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Deck 13","astragon Entertainment"
"310","Salvation Prophecy","Oct 7, 2013","$19.99","23% (63%)","20,000 .. 50,000","00:00 (00:00)","Firedance Games",""
"319","The Wizard's Lair","Mar 1, 2013","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Magicbane","Magicbane"
"320","InFlux","Sep 18, 2013","$9.99","34% (71%)","20,000 .. 50,000","00:00 (00:00)","Impromptu Games","Impromptu Games"
"321","Angry Birds Space","Mar 7, 2013","$4.99","74% (89%)","20,000 .. 50,000","00:00 (00:00)","Rovio Entertainment Ltd","Rovio Entertainment Ltd"
"322","Intake","Nov 6, 2013","$9.99","93% (95%)","20,000 .. 50,000","00:00 (00:00)","Cipher Prime Studios","Cipher Prime Studios"
"330","Poöf","Nov 8, 2013","$6.99","68% (87%)","20,000 .. 50,000","00:00 (00:00)","Arkedo","Neko Entertainment"
"348","Urban Chaos","Oct 15, 2013","$6.99","47% (78%)","20,000 .. 50,000","00:02 (00:00)","","Square Enix, Eidos Interactive"
"349","Paranormal","Sep 12, 2013","$9.99","25% (65%)","20,000 .. 50,000","00:00 (00:00)","","Matthew C Cohen"
"351","The Mysterious Cities of Gold","Nov 20, 2013","$11.99","49% (79%)","20,000 .. 50,000","00:00 (00:00)","Neko Entertainment","Neko Entertainment"
"352","Beast Boxing Turbo","Nov 19, 2013","$4.99","68% (87%)","20,000 .. 50,000","00:00 (00:00)","",""
"354","Bunny Must Die! Chelsea and the 7 Devils","Sep 26, 2013","$9.99","30% (68%)","20,000 .. 50,000","00:00 (00:00)","Platine Dispositif","Rockin' Android, Rockin Android"
"361","Shadow Man","Oct 18, 2013","$4.99","77% (90%)","20,000 .. 50,000","00:00 (00:00)","Acclaim Studios Teeside","Nightdive Studios"
"367","Vector","Dec 3, 2013","$6.99","71% (88%)","20,000 .. 50,000","00:26 (00:12)","","Nekki GmbH"
"387","Tomb Raider - The Final Hours Digital Book","Mar 7, 2013","$1.99","77% (90%)","20,000 .. 50,000","00:00 (00:00)","Geoff Keighley","Geoff Keighley"
"393","Tank Operations: European Campaign","Nov 22, 2013","$19.99","3% (29%)","20,000 .. 50,000","00:00 (00:00)","Linked Dimensions","rokapublish"
"397","Zigfrak","Dec 13, 2013","N/A","36% (72%)","20,000 .. 50,000","00:00 (00:00)","Entheogen Studios LLC","Entheogen Studios LLC"
"399","FINAL FANTASY XI: Ultimate Collection Seekers Edition","Apr 19, 2013","$9.89","60% (84%)","20,000 .. 50,000","41:52 (27:54)","Square Enix","Square Enix"
"405","Elder Sign: Omens","Nov 27, 2013","$14.99","45% (77%)","20,000 .. 50,000","00:00 (00:00)","Fantasy Flight Publishing, Inc.","Fantasy Flight Publishing, Inc."
"406","PCMark 8","Oct 21, 2013","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","UL","UL"
"420","Alien Spidy","Mar 20, 2013","$9.99","12% (51%)","20,000 .. 50,000","00:00 (00:00)","Enigma SP","Kalypso Media Digital"
"424","Farming Giant","Nov 6, 2013","$1.99","2% (19%)","20,000 .. 50,000","00:00 (00:00)","Actalogic","Toplitz Productions"
"425","Reach for the Sun","Nov 7, 2013","$4.99","27% (66%)","20,000 .. 50,000","00:00 (00:00)","Filament Games",""
"432","YOU DON'T KNOW JACK Vol. 4 The Ride","Nov 5, 2013","$2.99","71% (88%)","20,000 .. 50,000","00:16 (00:15)","Jackbox Games, Inc.","Jackbox Games, Inc."
"434","Nimble Quest","Dec 6, 2013","$4.99","77% (90%)","20,000 .. 50,000","00:00 (00:00)","",""
"449","Flashback","Oct 1, 2013","$9.99","21% (61%)","20,000 .. 50,000","00:00 (00:00)","","Ubisoft"
"452","Project Syria","Jan 8, 2013","Free","4% (31%)","20,000 .. 50,000","00:00 (00:00)","Emblematic Group","Emblematic Group"
"457","Gimbal","Nov 19, 2013","$9.99","56% (82%)","20,000 .. 50,000","00:00 (00:00)","8888888 LABS","8888888 LABS"
"460","Truck Racer","Oct 18, 2013","$9.99","30% (68%)","20,000 .. 50,000","00:00 (00:00)","Kylotonn Entertainment","Plug In Digital, Bigben Interactive"
"462","Dracula: Love Kills","Oct 29, 2013","$9.99","51% (80%)","20,000 .. 50,000","00:00 (00:00)","Waterlily Games","Frogwares"
"474","Go Home Dinosaurs!","Mar 14, 2013","$9.99","90% (94%)","20,000 .. 50,000","00:00 (00:00)","Fire Hose Games","Fire hose Games"
"477","Joe Danger","Jun 24, 2013","$14.99","58% (83%)","20,000 .. 50,000","00:00 (00:00)","Hello Games","Hello Games"
"479","9.03m","Nov 20, 2013","Free","56% (82%)","20,000 .. 50,000","00:00 (00:00)","Space Budgie","Space Budgie"
"485","Dead Sky","Nov 22, 2013","$1.99","6% (38%)","20,000 .. 50,000","00:00 (00:00)","",""
"487","Angelica Weaver: Catch Me When You Can","Jan 7, 2013","$13.99","36% (72%)","20,000 .. 50,000","00:00 (00:00)","MumboJumbo","MumboJumbo"
"489","Ride 'em Low","Nov 4, 2013","$2.99","17% (58%)","20,000 .. 50,000","00:00 (00:00)","Red Dot Games, PLAY","Libredia"
"495","Tiny Barbarian DX","Dec 3, 2013","$29.99","68% (87%)","20,000 .. 50,000","00:00 (00:00)","StarQuail Games","Nicalis, Inc"
"499","Eleusis","Oct 16, 2013","$14.99","22% (62%)","20,000 .. 50,000","00:01 (00:00)","Nocturnal works","Nocturnal works"
"511","Vox","Nov 12, 2013","$9.99","2% (24%)","20,000 .. 50,000","00:00 (00:00)","",""
"515","Skyscraper Simulator","Oct 21, 2013","$2.99","1% (7%)","20,000 .. 50,000","00:00 (00:00)","Actalogic","Libredia"
"35","Dominions 3: The Awakening","Sep 10, 2013","$19.99","47% (78%/82%)","0 .. 20,000","00:00 (00:00)","Illwinter Game Design","Illwinter Game Design"
"37","Rising Storm Game of the Year Edition","May 30, 2013","$19.99","99% (98%/82%)","0 .. 20,000","00:00 (00:00)","Tripwire Interactive, Anti Matter Games","Tripwire Interactive"
"160","Rain Blood Chronicles: Mirage","Nov 11, 2013","$4.99","38% (73%/68%)","0 .. 20,000","00:00 (00:00)","","Origo Games"
"203","Signal Ops","Nov 18, 2013","$9.99","24% (64%/61%)","0 .. 20,000","00:00 (00:00)","Space Bullet Dynamics Corporation","Space Bullet Dynamics Corporation"
"231","Hexodius","Jun 21, 2013","$9.99","N/A (N/A/47%)","0 .. 20,000","00:00 (00:00)","Brain Slap Studio","BANDAI NAMCO Entertainment"
"241","Spaceforce Constellations","Dec 12, 2013","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dreamatrix","Dreamatrix"
"250","Dragon's Lair 2: Time Warp","Oct 24, 2013","$9.99","56% (82%)","0 .. 20,000","00:00 (00:00)","Digital Leisure Inc.","Digital Leisure Inc."
"260","Highborn","Feb 19, 2013","$1.99","24% (64%)","0 .. 20,000","00:00 (00:00)","Jet Set Games","Jet Set Games"
"264","Cranky Cat","Jun 5, 2013","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","March Entertainment","March Entertainment"
"268","Nancy Drew: The Silent Spy","Oct 22, 2013","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","HeR Interactive","HeR Interactive"
"281","PAC-MAN and the Ghostly Adventures","Oct 29, 2013","$19.99","49% (79%)","0 .. 20,000","00:00 (00:00)","NAMCO BANDAI Games","BANDAI NAMCO Entertainment"
"290","Songs2See","Nov 26, 2013","$14.99","13% (52%)","0 .. 20,000","00:00 (00:00)","Songquito UG","Songquito UG"
"302","Sacra Terra: Kiss of Death Collector’s Edition","Mar 22, 2013","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alawar Five-BN","Alawar Entertainment"
"309","Virtual Race Car Engineer 2017","Aug 1, 2013","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tim McArthur","Monkey Face Software LLC"
"318","Mosaico","Nov 26, 2013","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Soulid Studio","Soulid Studio"
"329","MovieWriterPro","Dec 3, 2013","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","The Writer Zone","The Writer Zone"
"337","Secret Files: Sam Peters","Oct 18, 2013","$9.99","23% (63%)","0 .. 20,000","00:00 (00:00)","Animation Arts","Deep Silver"
"338","PlayClaw 5 - Game Recording and Streaming","Sep 10, 2013","$39.99","27% (66%)","0 .. 20,000","00:12 (00:07)","",""
"342","Life of a Wizard","Feb 27, 2013","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hosted Games","Hosted Games"
"353","MUD Motocross World Championship","Feb 26, 2013","$9.99","11% (49%)","0 .. 20,000","00:00 (00:00)","Milestone S.r.l.","BANDAI NAMCO Entertainment"
"355","The Saint: Abyss of Despair","Apr 5, 2013","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Happy Artist","Alawar Entertainment"
"358","Battleship","Jun 10, 2013","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sperasoft, Inc.","PopCap"
"359","Call of Duty: Ghosts - Digital Hardened Edition","Nov 4, 2013","$99.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Infinity Ward","Activision"
"365","Z3TA+ 2","Sep 9, 2013","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cakewalk","Cakewalk"
"368","A-Train 8","Sep 18, 2013","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ARTDINK","Degica"
"371","Happy Pong","Mar 16, 2013","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Poppgames","Poppgames"
"376","Dark Angels: Masquerade of Shadows","Nov 26, 2013","$3.99","97% (97%)","0 .. 20,000","00:00 (00:00)","Skywind Games","Alawar Entertainment"
"382","Cut the Rope","Mar 22, 2013","$4.99","74% (89%)","0 .. 20,000","00:00 (00:00)","Zeptolab UK Limited","Zeptolab UK Limited"
"391","Nancy Drew: Ghost of Thornton Hall","May 14, 2013","$19.99","84% (92%)","0 .. 20,000","00:00 (00:00)","HeR Interactive, Inc.","HeR Interactive"
"395","Zombie Apocalypse: Escape The Undead City","Nov 25, 2013","$0.99","6% (38%)","0 .. 20,000","00:00 (00:00)","Anarchy Enterprises","Anarchy Enterprises"
"408","Train Simulator: West Somerset Railway Route Add-On","Nov 14, 2013","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dovetail Games","Dovetail Games - Trains"
"414","Scrabble","Jun 10, 2013","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sperasoft, Inc.","PopCap"
