"X.","Game","Release.date","Price","Score.rank.Userscore...Metascore.","Owners","Playtime..Median.","Developer.s.","Publisher.s."
28,"Counter-Strike: Global Offensive","Aug 21, 2012","$14.99","71% (88%/83%)","20,000,000 .. 50,000,000","15:29 (06:24)","Valve","Valve"
5,"Borderlands 2","Sep 17, 2012","$19.99","95% (96%/89%)","5,000,000 .. 10,000,000","05:50 (01:57)","Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
22,"PlanetSide 2","Nov 20, 2012","Free","55% (82%/84%)","5,000,000 .. 10,000,000","05:59 (01:38)","Daybreak Game Company","Daybreak Game Company"
60,"Euro Truck Simulator 2","Oct 12, 2012","$19.99","95% (96%/79%)","5,000,000 .. 10,000,000","07:11 (03:03)","SCS Software","SCS Software"
63,"Chivalry: Medieval Warfare","Oct 16, 2012","$24.99","58% (83%/79%)","5,000,000 .. 10,000,000","02:27 (01:05)","Torn Banner Studios","Torn Banner Studios"
2,"Batman: Arkham City - Game of the Year Edition","Sep 7, 2012","$19.99","90% (94%/91%)","2,000,000 .. 5,000,000","01:59 (01:45)","Rocksteady Studios, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)"
3,"Dishonored","Oct 8, 2012","$9.99","95% (96%/91%)","2,000,000 .. 5,000,000","02:26 (00:54)","Arkane Studios","Bethesda Softworks"
4,"XCOM: Enemy Unknown","Oct 8, 2012","$29.99","90% (94%/89%)","2,000,000 .. 5,000,000","10:05 (07:45)","Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)","2K, Feral Interactive (Mac), Feral Interactive (Linux)"
6,"Far Cry 3","Dec 4, 2012","$19.99","71% (88%/88%)","2,000,000 .. 5,000,000","04:01 (01:35)","Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai","Ubisoft"
7,"Torchlight II","Sep 20, 2012","$19.99","90% (94%/88%)","2,000,000 .. 5,000,000","04:17 (01:57)","Runic Games","Runic Games"
8,"The Witcher 2: Assassins of Kings Enhanced Edition","Apr 16, 2012","$19.99","71% (88%/88%)","2,000,000 .. 5,000,000","04:46 (01:59)","CD PROJEKT RED","CD PROJEKT RED, 1C-SoftClub"
13,"The Lord of the Rings Online","Jun 6, 2012","Free","53% (81%/86%)","2,000,000 .. 5,000,000","08:07 (15:13)","Standing Stone Games, LLC","Standing Stone Games, LLC"
15,"Tribes: Ascend","Jun 27, 2012","Free","47% (78%/86%)","2,000,000 .. 5,000,000","00:00 (00:00)","Hi-Rez Studios","Hi-Rez Studios"
17,"Hotline Miami","Oct 23, 2012","$9.99","97% (97%/85%)","2,000,000 .. 5,000,000","01:48 (00:21)","Dennaton Games","Devolver Digital"
18,"STAR WARS Knights of the Old Republic II - The Sith Lords","Aug 23, 2012","$9.99","74% (89%/85%)","2,000,000 .. 5,000,000","04:11 (04:20)","Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)","LucasArts, Disney Interactive, Lucasfilm, Aspyr (Mac, Linux)"
19,"DARK SOULS: Prepare To Die Edition","Aug 24, 2012","N/A","74% (89%/85%)","2,000,000 .. 5,000,000","08:17 (01:01)","FromSoftware","BANDAI NAMCO Entertainment"
23,"FTL: Faster Than Light","Sep 14, 2012","$9.99","95% (96%/84%)","2,000,000 .. 5,000,000","03:43 (01:12)","Subset Games","Subset Games"
24,"Alan Wake","Feb 16, 2012","$14.99","80% (91%/83%)","2,000,000 .. 5,000,000","02:31 (01:54)","Remedy Entertainment","Remedy Entertainment"
25,"Orcs Must Die! 2","Jul 30, 2012","$14.99","90% (94%/83%)","2,000,000 .. 5,000,000","01:56 (02:28)","Robot Entertainment","Robot Entertainment"
29,"The Walking Dead","Apr 24, 2012","N/A","95% (96%/82%)","2,000,000 .. 5,000,000","16:29 (01:09)","Telltale Games","Telltale Games"
30,"Crusader Kings II","Feb 14, 2012","$39.99","77% (90%/82%)","2,000,000 .. 5,000,000","10:16 (03:56)","Paradox Development Studio","Paradox Interactive"
35,"Realm of the Mad God","Feb 20, 2012","Free","58% (83%/82%)","2,000,000 .. 5,000,000","03:32 (00:53)","Wild Shadow Studios, Deca Games","Deca Games"
38,"Age of Empires III: Complete Collection","Jan 5, 2012","$39.99","71% (88%/81%)","2,000,000 .. 5,000,000","04:36 (01:41)","Ensemble Studios","Microsoft Studios"
58,"Hitman: Absolution","Nov 19, 2012","$19.99","77% (90%/79%)","2,000,000 .. 5,000,000","01:56 (01:14)","Io-Interactive A/S, Feral Interactive (Mac)","Io-Interactive A/S, Feral Interactive (Mac)"
67,"Awesomenauts - the 2D moba","Aug 1, 2012","Free","63% (85%/78%)","2,000,000 .. 5,000,000","01:32 (00:49)","Ronimo Games","Ronimo Games"
99,"Blacklight: Retribution","Jul 2, 2012","Free","39% (74%/75%)","2,000,000 .. 5,000,000","01:23 (00:35)","Hardsuit Labs, Inc.","Hardsuit Labs, Inc."
104,"Call of Duty: Black Ops II","Nov 12, 2012","$59.99","55% (82%/74%)","2,000,000 .. 5,000,000","02:14 (00:10)","Treyarch","Activision"
130,"Fallen Earth Free2Play","Feb 22, 2012","Free","15% (55%/71%)","2,000,000 .. 5,000,000","01:20 (00:53)","Little Orbit","Little Orbit"
