"year","title","index","revised","url","tags"
2015,"F1 2015",286570,"F1_2015","https://store.steampowered.com/app/286570/F1_2015/","Racing,Sports,Simulation,Driving,Multiplayer,Realistic,Singleplayer,Co-op,First-Person,Action"
2015,"AdVenture Capitalist",346900,"AdVenture_Capitalist","https://store.steampowered.com/app/346900/AdVenture_Capitalist/","Free to Play,Clicker,Capitalism,Casual,Singleplayer,Management,Indie,Simulation,Point & Click,2D,Funny,Adventure,Strategy,Touch-Friendly,Real-Time,Comedy,Memes,Family Friendly,Great Soundtrack,Sandbox"
2015,"Fishing Planet",380600,"Fishing_Planet","https://store.steampowered.com/app/380600/Fishing_Planet/","Free to Play,Fishing,Simulation,Multiplayer,Sports,Massively Multiplayer,Realistic,Relaxing,Co-op,First-Person,Early Access,Singleplayer,Open World,Online Co-Op,Family Friendly,Adventure,Casual,FPS,MMORPG,Action"
2015,"Mitos.is: The Game",389570,"Mitos.is_The_Game","https://store.steampowered.com/app/389570/Mitos.is_The_Game/","Free to Play,Multiplayer,Massively Multiplayer,Strategy,2D,Survival,Funny,Simulation,Casual,Action,Online Co-Op,Indie,PvP,Family Friendly,Co-op,Singleplayer,Adventure,Difficult,Comedy,Illuminati"
2015,"Romero's Aftermath",349700,"Romero's_Aftermath","https://store.steampowered.com/app/349700/Romero's_Aftermath/",NA
2015,"Gear Up",214420,"Gear_Up","https://store.steampowered.com/app/214420/Gear_Up/","Free to Play,Multiplayer,Robots,Action,Shooter,Building,Tanks,PvP,Third Person,War,Massively Multiplayer,Sandbox,Indie,Strategy,Open World,Funny,Simulation,FPS,Adventure,Singleplayer"
2015,"Magic Duels",316010,"Magic_Duels","https://store.steampowered.com/app/316010/Magic_Duels/","Free to Play,Card Game,Trading Card Game,Magic,Strategy,Multiplayer,Fantasy,Singleplayer,Co-op,Online Co-Op,Turn-Based,Great Soundtrack,Action,Board Game"
2015,"WARMODE",391460,"WARMODE","https://store.steampowered.com/app/391460/WARMODE/","Early Access,Free to Play,FPS,Multiplayer,Shooter,Action,First-Person,Early Access,War,Massively Multiplayer,Co-op,Zombies,Singleplayer,Survival,Controller,Open World,Online Co-Op,Gore,Atmospheric,Adventure"
2015,"Freestyle 2: Street Basketball",339610,"Freestyle_2_Street_Basketball","https://store.steampowered.com/app/339610/Freestyle_2_Street_Basketball/",NA
2015,"sZone-Online",316390,"sZone_Online","https://store.steampowered.com/app/316390/sZone_Online/","Free to Play,Survival,Open World,Multiplayer,Zombies,Post-apocalyptic,Massively Multiplayer,Action,FPS,Shooter,Online Co-Op,Co-op,RPG,First-Person,PvP,Adventure,Atmospheric,MMORPG,Crafting,Horror"
2015,"Survarium",355840,"Survarium","https://store.steampowered.com/app/355840/Survarium/","Early Access,Free to Play,Multiplayer,Survival,FPS,Shooter,Post-apocalyptic,Action,Open World,First-Person,PvP,Early Access,Co-op,Atmospheric,Massively Multiplayer,Zombies,Crafting,RPG,Adventure,Exploration"
2015,"Just Survive",295110,"Just_Survive","https://store.steampowered.com/app/295110/Just_Survive/","Zombies,Survival,Open World,Multiplayer,Massively Multiplayer,Crafting,Post-apocalyptic,Action,Survival Horror,Co-op,Shooter,Adventure,Sandbox,Exploration,FPS,Walking Simulator,Horror,Early Access,Simulation,RPG"
2015,"Besiege",346010,"Besiege","https://store.steampowered.com/app/346010/Besiege/","Early Access,Building,Sandbox,Physics,Destruction,Medieval,Singleplayer,Simulation,Early Access,Strategy,Indie,Funny,Puzzle,Blood,Action,Open World,Casual,Third Person,Multiplayer,Gore"
2015,"Transformice",335240,"Transformice","https://store.steampowered.com/app/335240/Transformice/","Free to Play,Multiplayer,Massively Multiplayer,Funny,Platformer,2D,Casual,Adventure,Racing,Indie,Survival,Cute,Mouse only,Strategy,Online Co-Op,Family Friendly,Co-op,Comedy,Action,Puzzle"
2015,"S.K.I.L.L. - Special Force 2 (Shooter)",286940,"S.K.I.L.L.___Special_Force_2_(Shooter)","https://store.steampowered.com/app/286940/S.K.I.L.L.___Special_Force_2_(Shooter)/",NA
2015,"Divinity: Original Sin - Enhanced Edition",373420,"Divinity_Original_Sin___Enhanced_Edition","https://store.steampowered.com/app/373420/Divinity_Original_Sin___Enhanced_Edition/","RPG,Turn-Based,Co-op,Adventure,Fantasy,Party-Based RPG,Strategy,Open World,Story Rich,Turn-Based Combat,Character Customization,Isometric,Singleplayer,Local Co-Op,CRPG,Split Screen,Indie,Multiplayer,Great Soundtrack,Turn-Based Strategy"
2015,"METAL GEAR SOLID V: THE PHANTOM PAIN",287700,"METAL_GEAR_SOLID_V_THE_PHANTOM_PAIN","https://store.steampowered.com/app/287700/METAL_GEAR_SOLID_V_THE_PHANTOM_PAIN/",NA
2015,"Pillars of Eternity",291650,"Pillars_of_Eternity","https://store.steampowered.com/app/291650/Pillars_of_Eternity/","RPG,Fantasy,Isometric,Story Rich,Singleplayer,Party-Based RPG,CRPG,Real-Time with Pause,Kickstarter,Adventure,Atmospheric,Dark Fantasy,Open World,Exploration,Classic,Character Customization,Strategy,Great Soundtrack,Indie,Crowdfunded"
2015,"Ori and the Blind Forest",261570,"Ori_and_the_Blind_Forest","https://store.steampowered.com/app/261570/Ori_and_the_Blind_Forest/","Great Soundtrack,Atmospheric,Platformer,Adventure,Story Rich,Fantasy,2D,Cute,Metroidvania,Singleplayer,Difficult,Action,Indie,Puzzle,Exploration,Side Scroller,Family Friendly,Open World,RPG,2.5D"
2015,"Crypt of the NecroDancer",247080,"Crypt_of_the_NecroDancer","https://store.steampowered.com/app/247080/Crypt_of_the_NecroDancer/","Rhythm,Rogue-like,Great Soundtrack,Pixel Graphics,Dungeon Crawler,Indie,Female Protagonist,Difficult,Music,RPG,Local Co-Op,Action,Rogue-lite,2D,Procedural Generation,Singleplayer,Co-op,Adventure,Fantasy,Retro"
2015,"DiRT Rally",310560,"DiRT_Rally","https://store.steampowered.com/app/310560/DiRT_Rally/","Racing,Simulation,Multiplayer,Driving,Offroad,Realistic,Singleplayer,Difficult,VR,Sports,First-Person,Early Access,Action,Atmospheric,TrackIR,Fast-Paced,3D Vision,Co-op,Open World,Family Friendly"
2015,"Broforce",274190,"Broforce","https://store.steampowered.com/app/274190/Broforce/","America,Action,Pixel Graphics,Co-op,2D,Platformer,Indie,Local Co-Op,Multiplayer,Side Scroller,Shooter,Retro,Funny,Gore,Local Multiplayer,Comedy,Arcade,Adventure,Casual,Epic"
2015,"Total War: ATTILA",325610,"Total_War_ATTILA","https://store.steampowered.com/app/325610/Total_War_ATTILA/","Strategy,Historical,War,Turn-Based Strategy,Grand Strategy,Tactical,RTS,Multiplayer,Rome,Singleplayer,Real Time Tactics,Medieval,Atmospheric,Action,Co-op,Turn-Based,Open World,Survival,Simulation,Adventure"
2015,"ArcheAge",304030,"ArcheAge","https://store.steampowered.com/app/304030/ArcheAge/",NA
2015,"Elite Dangerous",359320,"Elite_Dangerous","https://store.steampowered.com/app/359320/Elite_Dangerous/","Space Sim,Space,Open World,Exploration,Sci-fi,Simulation,Massively Multiplayer,Multiplayer,First-Person,Action,Sandbox,Adventure,Online Co-Op,Trading,Singleplayer,RPG,VR,Difficult,Strategy,TrackIR"
2015,"DARK SOULS II: Scholar of the First Sin",335300,"DARK_SOULS_II_Scholar_of_the_First_Sin","https://store.steampowered.com/app/335300/DARK_SOULS_II_Scholar_of_the_First_Sin/","RPG,Dark Fantasy,Difficult,Action,Third Person,Atmospheric,Action RPG,Character Customization,Co-op,Multiplayer,Fantasy,Adventure,Medieval,Singleplayer,Dark,Lore-Rich,Souls-like,Story Rich,PvP,Remake"
2015,"Warhammer: End Times - Vermintide",235540,"Warhammer_End_Times___Vermintide","https://store.steampowered.com/app/235540/Warhammer_End_Times___Vermintide/","Action,Online Co-Op,Co-op,Dark Fantasy,Gore,First-Person,Multiplayer,Games Workshop,FPS,Fantasy,Atmospheric,Action RPG,Survival,Hack and Slash,RPG,Indie,Adventure,Horror,Singleplayer,Female Protagonist"
2015,"Mortal Kombat X",307780,"Mortal_Kombat_X","https://store.steampowered.com/app/307780/Mortal_Kombat_X/",NA
2015,"The Red Solstice",265590,"The_Red_Solstice","https://store.steampowered.com/app/265590/The_Red_Solstice/","Action,RPG,Co-op,Tactical,Strategy,Indie,Survival,Multiplayer,Top-Down,Adventure,Isometric,Sci-fi,RTS,Space,Action RPG,Horror,Aliens,Zombies,Strategy RPG,Kickstarter"
2015,"Call of Duty: Black Ops III",311210,"Call_of_Duty_Black_Ops_III","https://store.steampowered.com/app/311210/Call_of_Duty_Black_Ops_III/",NA
2015,"Mad Max",234140,"Mad_Max","https://store.steampowered.com/app/234140/Mad_Max/",NA
2015,"The Escapists",298630,"The_Escapists","https://store.steampowered.com/app/298630/The_Escapists/","Pixel Graphics,Strategy,Crafting,Singleplayer,Simulation,2D,Indie,Difficult,Action,Survival,Adventure,Puzzle,RPG,Top-Down,Funny,Sandbox,Multiplayer,Comedy,Rogue-like,Co-op"
2015,"Dungeons 2",262280,"Dungeons_2","https://store.steampowered.com/app/262280/Dungeons_2/","Strategy,RPG,Management,Fantasy,Dungeon Crawler,Comedy,Simulation,RTS,Villain Protagonist,Multiplayer,Singleplayer,Competitive,Funny,Base Building,Top-Down,God Game"
2015,"Spooky's Jump Scare Mansion",356670,"Spooky's_Jump_Scare_Mansion","https://store.steampowered.com/app/356670/Spooky's_Jump_Scare_Mansion/","Horror,Free to Play,Cute,First-Person,Singleplayer,Psychological Horror,Indie,Adventure,Dark,Funny,Atmospheric,Action,Walking Simulator,Survival,Survival Horror,Gore,Anime,Comedy,Multiplayer,Illuminati"
2015,"Red Crucible: Firestorm",298240,"Red_Crucible_Firestorm","https://store.steampowered.com/app/298240/Red_Crucible_Firestorm/","Shooter,Free to Play,FPS,Multiplayer,Action,War,First-Person,Tanks,Third-Person Shooter,Open World,Simulation,Singleplayer,PvP,Third Person,Indie,Co-op,Controller,Early Access,Adventure,Casual"
2015,"Sakura Clicker",383080,"Sakura_Clicker","https://store.steampowered.com/app/383080/Sakura_Clicker/","Anime,Nudity,Free to Play,Mature,Sexual Content,Clicker,Female Protagonist,Singleplayer,Casual,Indie,Fantasy,NSFW,Memes,Funny,2D,RPG,Story Rich,Adventure,Dating Sim,Illuminati"
2015,"Just Survive Test Server",362300,"Just_Survive_Test_Server","https://store.steampowered.com/app/362300/Just_Survive_Test_Server/","Massively Multiplayer,Zombies"
